Rating,Location,Headquarters,Size,Type of ownership,Industry,Sector,Revenue,min_salary,max_salary,avg_salary,hourly,employer_provided,job_state,same_state,age,python,r,sas,spark,aws,sql,excel,matlab,desc_len,level,title,comp,name
2.8,158,153,3,1,28,12,12,82,133,107.5,0,0,17,1,20.0,1,0,0,0,0,0,0,0,3930,2,2,0,102
4.7,117,109,6,1,12,5,6,65,125,95.0,0,0,19,1,24.0,0,0,0,1,1,1,0,0,2922,2,4,2,209
3.0,103,96,2,5,28,12,12,91,148,119.5,0,0,2,1,23.0,1,0,1,1,0,1,0,0,4036,0,2,3,167
3.2,36,64,2,1,1,5,0,95,173,134.0,0,0,21,0,20.0,0,0,0,1,1,1,0,0,2642,3,1,3,242
4.4,30,27,3,1,18,13,12,77,124,100.5,0,0,16,1,21.0,1,0,0,0,0,1,1,0,4216,3,2,0,237
3.5,41,41,2,2,51,16,10,80,135,107.5,0,0,26,1,142.0,1,0,0,0,0,1,0,0,7286,0,2,0,301
4.0,190,185,6,1,34,13,12,85,159,122.0,0,0,5,1,5.0,1,0,0,1,1,1,0,0,4104,3,2,0,320
4.3,40,40,2,2,43,20,5,80,105,92.5,0,0,11,1,27.0,1,0,0,1,0,1,1,0,8217,3,2,3,110
2.3,18,11,5,1,45,5,4,43,81,62.0,0,0,17,1,34.0,0,0,0,0,0,1,1,0,1847,3,4,0,285
4.0,1,49,6,9,3,5,6,29,50,39.5,0,0,0,0,20.0,0,0,0,0,0,0,0,0,2823,2,4,0,16
3.6,170,166,2,1,31,15,4,82,133,107.5,0,0,2,0,54.0,0,0,0,0,0,0,1,0,4023,3,2,0,9
3.8,90,86,5,1,49,5,12,26,55,40.5,0,0,20,1,3.0,1,0,0,0,1,1,1,0,4185,0,1,0,127
3.7,13,66,1,2,30,13,3,61,118,89.5,0,0,34,0,62.0,1,0,0,1,0,1,0,0,5040,3,2,3,327
4.4,40,40,3,1,12,5,9,60,102,81.0,0,0,11,1,12.0,1,0,0,0,1,1,1,0,3200,3,2,0,182
4.0,78,104,5,1,18,13,4,112,182,147.0,0,0,34,0,8.0,1,0,0,0,1,0,0,0,3744,3,2,3,205
3.2,64,65,2,1,8,9,4,64,106,85.0,0,0,32,1,62.0,1,0,1,0,0,1,1,0,4041,0,2,3,123
2.9,187,187,2,1,14,15,0,51,112,81.5,0,0,2,0,49.0,0,0,0,0,0,0,1,0,5685,3,4,2,226
3.8,125,162,2,2,7,4,10,113,223,168.0,0,0,2,0,23.0,0,0,0,0,0,0,1,0,6319,3,4,3,41
4.3,16,9,0,1,2,1,12,72,129,100.5,0,0,3,1,13.0,1,0,0,1,1,1,1,0,3592,2,3,0,277
3.4,122,93,2,1,12,5,4,71,123,97.0,0,0,25,0,77.0,1,0,0,1,0,1,1,0,7665,2,2,3,215
4.1,35,77,4,2,45,5,0,64,106,85.0,0,0,34,0,52.0,0,0,0,0,0,1,0,0,3522,2,3,0,179
4.3,118,111,3,1,18,13,12,118,189,153.5,0,0,2,1,9.0,1,0,0,1,1,0,1,0,4201,0,2,0,339
5.0,185,147,6,1,30,13,12,120,145,132.5,0,1,7,0,3.0,0,0,0,0,0,0,0,0,695,2,1,0,142
4.3,40,40,6,1,10,13,2,80,120,100.0,0,0,11,1,12.0,0,0,0,1,0,1,1,0,3080,3,1,3,233
3.7,53,51,3,1,56,24,12,80,130,105.0,0,0,3,1,9.0,1,0,0,0,0,1,0,0,3392,3,2,0,113
4.2,155,155,1,5,44,18,12,59,115,87.0,0,0,33,0,46.65587044534413,0,0,0,0,1,0,1,0,3118,3,1,0,298
4.3,163,158,6,1,43,20,12,71,136,103.5,0,0,2,1,7.0,0,0,0,0,0,1,1,0,1831,2,0,3,184
2.6,141,136,5,0,9,8,12,81,167,124.0,0,0,28,1,36.0,1,0,1,0,0,0,1,0,6197,3,4,0,270
3.8,154,149,2,3,17,19,10,49,85,67.0,0,0,35,1,55.0,1,0,0,0,0,0,0,0,6914,0,4,3,216
3.9,190,168,1,1,30,13,5,60,114,87.0,0,0,5,0,20.0,0,0,0,0,0,0,0,0,3255,3,1,3,6
4.3,40,111,3,1,18,13,12,71,204,137.5,0,0,11,0,9.0,1,0,0,1,1,0,1,0,3437,3,2,0,339
3.8,41,41,3,1,1,5,4,75,125,100.0,0,0,26,1,33.0,1,0,0,0,0,1,1,0,5582,3,2,3,220
3.8,38,38,4,5,33,14,7,77,136,106.5,0,0,31,1,75.0,0,0,1,0,0,1,1,0,5813,3,4,0,44
3.8,154,149,2,3,17,19,10,74,123,98.5,0,0,35,1,55.0,0,0,0,0,0,0,0,0,4946,0,3,3,216
4.8,42,42,5,1,46,5,4,44,78,61.0,0,0,7,1,10.0,1,0,0,0,0,1,1,0,2968,0,2,0,164
4.4,85,82,6,1,12,5,12,65,148,106.5,0,0,12,1,12.0,1,0,0,1,1,1,0,0,4175,3,2,0,162
3.9,30,27,6,1,34,13,12,59,110,84.5,0,0,16,1,15.0,1,0,0,1,0,1,0,0,2097,2,1,0,79
3.4,59,57,2,2,14,15,5,85,134,109.5,0,0,23,1,174.0,1,0,0,0,0,0,1,0,2998,3,0,0,72
3.6,26,174,4,1,33,14,3,124,204,164.0,0,0,16,0,169.0,1,0,0,1,1,1,0,0,4458,3,2,0,180
3.9,176,173,1,8,7,4,3,131,207,169.0,0,0,2,1,44.0,1,0,0,1,0,1,1,0,7162,3,2,0,132
3.8,49,176,4,2,53,22,5,110,174,142.0,0,0,2,0,24.0,1,0,0,1,1,0,1,0,2419,3,2,0,161
3.7,26,124,1,2,7,4,3,52,101,76.5,0,0,16,0,239.0,0,0,0,0,0,0,1,0,2508,3,4,3,289
3.8,68,69,5,1,33,14,10,81,133,107.0,0,0,17,1,39.0,1,0,0,0,0,1,1,0,3035,3,1,0,169
3.5,164,159,1,2,10,13,3,132,211,171.5,0,0,2,1,50.0,1,0,0,0,1,1,0,0,4563,3,3,2,331
3.9,50,111,3,1,32,14,12,73,119,96.0,0,0,32,0,7.0,0,0,0,0,0,0,1,0,6967,3,2,0,147
4.2,163,158,6,1,18,13,12,110,175,142.5,0,0,2,1,10.0,0,0,0,0,0,1,0,0,3549,2,2,0,207
4.2,155,155,1,5,44,18,12,74,140,107.0,0,0,33,0,46.65587044534413,0,0,0,0,0,0,1,0,2691,2,1,0,298
3.5,108,103,2,1,7,4,0,100,190,145.0,0,0,16,1,10.0,1,0,0,0,0,0,1,1,5417,3,4,3,283
2.9,78,77,3,5,9,8,6,43,80,61.5,0,0,34,1,27.0,1,0,0,0,0,1,1,0,5791,3,0,3,199
3.6,193,143,4,5,28,12,12,34,48,41.0,1,0,28,0,3.0,0,0,0,0,0,0,0,0,2145,3,4,0,307
2.7,106,101,6,3,35,9,9,91,149,120.0,0,0,36,1,69.0,1,0,0,0,0,1,0,0,6530,3,0,0,276
4.4,30,27,3,2,7,4,4,42,82,62.0,0,0,16,1,7.0,0,0,0,0,0,0,0,0,5538,3,4,0,250
4.0,163,162,4,2,10,13,5,116,185,150.5,0,0,2,0,38.0,1,0,1,1,0,1,0,1,2549,3,2,0,31
4.3,52,53,3,1,1,5,12,59,116,87.5,0,0,18,0,53.0,0,0,0,0,0,1,1,0,1990,3,4,0,211
4.2,196,193,6,2,1,5,6,48,95,71.5,0,0,7,1,14.0,1,0,0,1,1,1,1,0,10146,3,1,2,152
3.6,166,162,6,8,15,21,4,31,72,51.5,0,0,2,1,14.0,0,0,0,0,0,0,1,0,4386,3,0,0,326
3.7,162,124,1,2,7,4,3,105,198,151.5,0,0,2,0,239.0,0,0,0,0,0,0,1,1,5884,3,3,3,289
2.8,74,75,3,1,30,13,12,55,100,77.5,0,0,23,1,6.0,1,0,0,0,0,1,1,0,5965,0,0,0,100
3.7,26,124,1,2,7,4,3,98,182,140.0,0,0,16,0,239.0,0,0,0,0,0,0,1,0,2348,3,4,3,289
3.3,198,22,2,1,33,14,2,73,124,98.5,0,0,23,0,38.0,0,0,1,0,0,1,1,0,3261,3,2,2,229
3.7,163,70,6,1,30,13,8,200,250,225.0,0,1,2,0,3.0,1,0,0,0,1,0,1,1,1657,0,2,0,52
3.6,98,90,2,5,28,12,4,42,68,55.0,1,0,6,1,85.0,0,0,0,0,0,0,0,0,2762,2,4,0,38
3.7,26,124,1,2,7,4,3,117,206,161.5,0,0,16,0,239.0,0,0,0,0,0,0,0,0,1368,3,4,3,289
3.4,122,74,2,2,33,14,0,111,183,147.0,0,0,25,0,72.0,1,0,0,1,1,1,0,0,4873,3,2,0,24
4.1,179,175,5,1,17,19,0,44,78,61.0,0,0,20,1,59.0,0,0,0,0,0,1,1,0,2917,2,0,0,26
2.6,141,136,5,0,9,8,12,81,159,120.0,0,0,28,1,36.0,1,0,0,0,0,0,0,1,2834,2,3,0,270
3.2,140,189,2,2,37,9,10,83,166,124.5,0,0,1,0,12.0,1,0,0,0,0,1,1,0,1947,1,2,3,221
3.9,28,26,6,1,21,9,9,114,182,148.0,0,0,2,1,11.0,1,0,0,0,0,0,0,0,2392,3,2,0,334
4.7,84,6,6,1,2,1,6,42,76,59.0,0,0,0,0,24.0,1,0,0,0,0,0,1,1,3114,2,0,2,91
3.7,199,195,4,2,33,14,7,114,179,146.5,0,0,16,1,168.0,1,0,1,0,0,1,1,0,5195,3,2,0,303
2.9,124,119,3,2,7,4,12,60,123,91.5,0,0,16,1,46.65587044534413,0,0,0,0,0,0,1,0,4011,3,4,0,163
3.0,40,40,5,1,7,4,12,100,166,133.0,0,0,11,1,5.0,1,0,0,0,1,1,0,0,3313,3,3,0,295
4.7,160,155,6,1,7,4,1,108,173,140.5,0,0,33,1,7.0,1,0,0,0,1,0,0,0,4854,0,2,0,241
3.7,93,51,5,1,10,13,12,48,93,70.5,0,0,15,0,46.65587044534413,0,0,0,0,0,1,1,0,3696,3,4,0,214
3.3,157,152,1,4,28,12,10,54,115,84.5,0,0,25,1,6.0,0,0,0,0,0,0,0,0,3693,0,0,0,247
4.0,9,4,6,1,10,13,8,60,127,93.5,0,0,17,1,18.0,0,0,0,0,0,0,1,0,4674,2,2,0,76
4.4,30,27,3,2,7,4,4,90,179,134.5,0,0,16,1,7.0,0,0,0,0,0,0,0,0,4464,3,4,0,250
3.9,163,158,3,1,34,13,2,138,224,181.0,0,0,2,1,13.0,1,0,0,1,0,1,0,0,2037,3,1,2,290
3.3,157,152,1,4,28,12,10,54,115,84.5,0,0,25,1,6.0,0,0,0,0,0,0,0,0,3650,0,0,0,247
4.1,118,111,6,1,34,13,9,190,220,205.0,0,0,2,1,10.0,1,0,0,1,1,1,0,0,4077,3,1,3,87
3.6,79,78,2,1,24,3,4,35,62,48.5,0,0,2,1,34.0,0,0,1,0,0,1,1,0,4644,0,0,0,258
4.0,29,5,2,4,28,12,9,36,50,43.0,1,0,32,0,43.0,0,0,0,0,1,0,0,0,5215,2,4,0,296
2.4,82,61,5,1,23,15,4,39,66,52.5,0,0,11,0,46.65587044534413,0,0,0,0,0,0,0,0,2455,2,4,0,291
2.6,141,136,5,0,9,8,12,81,167,124.0,0,0,28,1,36.0,0,0,0,0,0,0,0,0,5421,3,3,0,270
3.5,171,167,5,5,28,12,10,42,86,64.0,0,0,2,1,24.0,0,0,0,0,0,1,0,0,3901,0,4,0,66
3.0,92,87,1,1,25,21,3,69,127,98.0,0,0,31,1,62.0,1,0,0,0,0,1,0,0,2177,2,4,3,227
3.6,114,90,2,5,28,12,4,42,68,55.0,1,0,6,0,85.0,0,0,0,0,0,0,0,0,2840,2,4,0,38
3.3,116,108,5,1,23,15,12,40,68,54.0,0,0,36,1,56.0,0,0,0,0,0,0,0,0,2855,0,4,0,219
2.7,158,153,3,1,7,4,6,49,113,81.0,0,0,17,1,59.0,0,0,0,0,0,0,1,0,3809,3,4,0,12
3.4,40,40,2,2,55,23,5,75,140,107.5,0,0,11,1,15.0,0,0,0,0,0,1,0,0,4335,3,1,3,105
